spine_pos,relative_to_t0,close_utc,open,high,low,close
4556015,1,2021-01-04 08:41:00+00:00,12935.25,12937.25,12933.75,12934.5
4556016,2,2021-01-04 08:42:00+00:00,12934.5,12935.25,12933.75,12934.0
4556017,3,2021-01-04 08:43:00+00:00,12933.75,12934.5,12931.0,12931.75
4556018,4,2021-01-04 08:44:00+00:00,12931.75,12933.5,12930.5,12932.25
4556019,5,2021-01-04 08:45:00+00:00,12932.5,12934.0,12931.0,12934.0
4556020,6,2021-01-04 08:46:00+00:00,12933.25,12934.0,12930.25,12931.25
4556021,7,2021-01-04 08:47:00+00:00,12931.25,12932.25,12930.5,12931.25
4556022,8,2021-01-04 08:48:00+00:00,12931.75,12935.25,12931.25,12933.5
4556023,9,2021-01-04 08:49:00+00:00,12933.75,12934.5,12931.5,12931.75
4556024,10,2021-01-04 08:50:00+00:00,12931.75,12932.5,12930.5,12931.25
4556025,11,2021-01-04 08:51:00+00:00,12932.0,12932.25,12931.0,12931.75
4556026,12,2021-01-04 08:52:00+00:00,12932.0,12934.0,12932.0,12933.0
4556027,13,2021-01-04 08:53:00+00:00,12933.25,12938.25,12933.25,12935.75
4556028,14,2021-01-04 08:54:00+00:00,12935.25,12936.5,12934.75,12935.25
4556029,15,2021-01-04 08:55:00+00:00,12935.0,12935.75,12933.75,12934.5
4556030,16,2021-01-04 08:56:00+00:00,12934.5,12935.75,12932.75,12933.5
4556031,17,2021-01-04 08:57:00+00:00,12934.25,12934.25,12931.25,12931.75
4556032,18,2021-01-04 08:58:00+00:00,12931.25,12932.75,12931.0,12932.75
4556033,19,2021-01-04 08:59:00+00:00,12932.5,12933.75,12931.75,12933.0
4556034,20,2021-01-04 09:00:00+00:00,12932.75,12933.5,12932.25,12932.25
4556035,21,2021-01-04 09:01:00+00:00,12932.25,12934.25,12930.5,12931.75
4556036,22,2021-01-04 09:02:00+00:00,12931.5,12936.0,12931.25,12936.0
4556037,23,2021-01-04 09:03:00+00:00,12935.75,12937.5,12934.75,12936.25
4556038,24,2021-01-04 09:04:00+00:00,12936.25,12937.0,12936.25,12937.0
4556039,25,2021-01-04 09:05:00+00:00,12937.5,12944.75,12937.5,12940.5
4556040,26,2021-01-04 09:06:00+00:00,12940.75,12941.0,12939.75,12940.0
4556041,27,2021-01-04 09:07:00+00:00,12939.5,12942.5,12939.0,12942.0
4556042,28,2021-01-04 09:08:00+00:00,12942.25,12943.0,12941.25,12941.75
4556043,29,2021-01-04 09:09:00+00:00,12941.5,12944.25,12941.25,12942.0
4556044,30,2021-01-04 09:10:00+00:00,12941.75,12942.75,12940.5,12941.25
4556045,31,2021-01-04 09:11:00+00:00,12941.25,12943.25,12941.0,12943.25
4556046,32,2021-01-04 09:12:00+00:00,12943.25,12943.25,12942.0,12943.0
4556047,33,2021-01-04 09:13:00+00:00,12942.25,12945.0,12942.25,12944.25
4556048,34,2021-01-04 09:14:00+00:00,12944.25,12945.25,12943.75,12944.25
4556049,35,2021-01-04 09:15:00+00:00,12944.5,12945.0,12942.5,12942.5
4556050,36,2021-01-04 09:16:00+00:00,12943.0,12947.5,12943.0,12946.75
4556051,37,2021-01-04 09:17:00+00:00,12947.5,12955.5,12947.25,12950.0
4556052,38,2021-01-04 09:18:00+00:00,12949.75,12950.5,12947.75,12949.5
4556053,39,2021-01-04 09:19:00+00:00,12949.5,12950.75,12949.5,12950.25
4556054,40,2021-01-04 09:20:00+00:00,12951.0,12951.5,12948.75,12949.0
4556055,41,2021-01-04 09:21:00+00:00,12949.0,12953.5,12948.5,12951.25
4556056,42,2021-01-04 09:22:00+00:00,12951.25,12951.5,12950.0,12950.75
4556057,43,2021-01-04 09:23:00+00:00,12950.5,12953.25,12950.5,12951.75
4556058,44,2021-01-04 09:24:00+00:00,12951.5,12955.0,12949.0,12953.25
4556059,45,2021-01-04 09:25:00+00:00,12953.0,12954.0,12951.0,12951.5
